ds,yhat
2026-08-16,1954.0233379879094
2026-08-17,1978.2922269598039
2026-08-18,1846.03511603697
2026-08-19,1600.4496053513358
2026-08-20,1458.226542464633
2026-08-21,1515.8362731181574
2026-08-22,1703.9698219191594
2026-08-23,1932.7287322627542
2026-08-24,1954.2767443831185
2026-08-25,1819.9633009067174
2026-08-26,1573.0129533681309
2026-08-27,1430.126629777111
2026-08-28,1487.768015128568
2026-08-29,1676.6052921295623
2026-08-30,1906.7019500598662
2026-08-31,1930.1698085064827
2026-09-01,1798.2942034002344
2026-09-02,1554.225358335528
2026-09-03,1414.581843751589
2026-09-04,1475.7393129175532
2026-09-05,1668.2746955080527
2026-09-06,1902.1594884232534
2026-09-07,1990.1343473340858
2026-09-08,1801.240986883367
2026-09-09,1560.7069708805452
2026-09-10,1424.359871035414
2026-09-11,1488.5133010885054
2026-09-12,1683.6933454753173
2026-09-13,1919.8328638748335
2026-09-14,1948.927603890555
