"                                                                                     ENDEREÇO","            CIDADE","                        SEDE","          SETOR","","","","","","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR",""
"","","","","","","","","","           MARÇO 2025 ","","          ABRIL  2025","","             MAIO  2025","","              JUNHO  2025","","            JULHO  2025","","         AGOSTO  2025","","   SETEMBRO  2025","","    OUTUBRO  2025","","   NOVENBRO  2025","","    DEZEMBRO  2025","","       JANEIRO 2026","","   FEVEREIRO  2026","","","",""
"","","","","","             SEA","","","","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","","",""
"Rod. SC 401, KM 5, 4600","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","COAPO","Tipo 06","ZEBRA-GT800","ZEBRA-GT800","IMPRESSORA TERMICA ZEBRA GT800","ZEBRA-GT800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",""
"Rodovia Admar Gonzaga / SC-404, 2910","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","ALMOXARIFADO","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC4741","100","0","20","0","79","0","223","0","54","0","102","0","107","0","61","0","38","0","22","0","32","0","44","0","","",""
"Rod. BR 101, KM 212","PALHOÇA","SEA - SEA - PALHOÇA","ALMOXARIFADO","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0145","294","0","383","0","687","0","430","0","339","0","237","0","161","0","250","0","1053","0","243","0","196","0","247","0","/ 12 ","MEDIA","S"
"","","","","","","","","PTO/BCO","7929","","8091","","9168","","8463","","9668","","12287","","11118","","10911","","7596","","8938","","9324","","9003","","112,496","9,374","E"
"","","","","","","","","COLOR","","4818","","5113","","6004","","4577","","4903","","10870","","7573","","6838","","4893","","6109","","5204","","5372","72,274","6,023","A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","           DIAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R. das Camélias, 345 - Kobrasol","FLORIANOPOLIS","SEA - DIAP","SALA DIRETORIA ","Tipo 04","Impressão Color","Okidata ES8473MFP","MULTIFUNCIONAL COLOR OKIDATA ES8473MFP","TPSC7991","194","118","304","88","354","157","344","865","410","62","196","386","423","340","432","227","233","85","369","232","701","421","398","802","","","D"
"R. das Camélias, 345 - Kobrasol","FLORIANOPOLIS","SEA - DIAP","SALA PESQUISA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC5467","1818","0","1072","0","690","0","1223","0","613","0","220","0","425","0","424","0","167","0","67","0","1182","0","365","0","/ 12 ","MEDIA","I"
"","","","","","","","","PTO/BCO","2012","","1376","","1044","","1567","","1023","","416","","848","","856","","400","","436","","1883","","763","","12,624","1,052","A"
"","","","","","","","","COLOR","","118","","88","","157","","865","","62","","386","","340","","227","","85","","232","","421","","802","3,783","316","P"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","   DSAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rua Dr. Heitor Blum, 386- Estreito","FLORIANOPOLIS","SEA - SEDE - FLORIANOPOLIS","GESAS","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC7654","236","0","407","0","330","0","442","0","409","0","1711","0","1043","0","767","0","1072","0","1929","0","933","0","1610","0","","",""
"Rua Dr. Heitor Blum, 386- Estreito","FLORIANOPOLIS","DSAS","EMSS/SEA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0042","78","0","215","0","113","0","155","0","425","0","150","0","45","0","109","0","78","0","64","0","37","0","0","0","","",""
"Rua Dr. Heitor Blum, 386- Estreito","FLORIANOPOLIS","DSAS","GESAD","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0043","1205","0","971","0","816","0","687","0","612","0","863","0","631","0","2711","0","1294","0","2109","0","1138","0","1152","0","","",""
"Rua Dr. Heitor Blum, 386- Estreito","FLORIANOPOLIS","DSAS","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0045","345","0","195","0","242","0","97","0","224","0","74","0","153","0","137","0","293","0","284","0","450","0","320","0","","",""
"Rua Dr. Heitor Blum, 386- Estreito","FLORIANOPOLIS","DSAS","GECEP/GPSP","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0046","1786","0","1032","0","968","0","819","0","872","0","608","0","588","0","445","0","0","0","0","0","34","0","97","0","","","D"
"Rua Dr. Heitor Blum, 386- Estreito","FLORIANOPOLIS","DSAS","DIRETORIA DSAS","Tipo 01","Impressão Color","Ricoh P C301W","IMPRESSORA COLOR RICOH P C301W","TPSC0697","0","0","0","0","226","2693","13","86","42","423","0","493","1","156","12","246","225","281","9","207","10","303","2","139","/ 12 ","MEDIA","S"
"","","","","","","","","PTO/BCO","3650","","2820","","2695","","2213","","2584","","3406","","2461","","4181","","2962","","4395","","2602","","3181","","37,150","3,096","A"
"","","","","","","","","COLOR","","0","","0","","2693","","86","","423","","493","","156","","246","","281","","207","","303","","139","5,027","419","S"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","    PERICIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rua João de Castro, 472 – Centro – CEP: 88501-161","LAGES","SEA - DSAS - LAGES","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0146","1029","0","827","0","712","0","372","0","463","0","1242","0","545","0","652","0","352","0","319","0","299","0","565","0","","",""
