metodo,n,media_km,mediana_km,min_km,max_km,std_km,cv_pct,ic_95_inf,ic_95_sup,tempo_medio_s
SA,30,1455.45,1450.11,1430.76,1517.52,21.24,1.46,1447.85,1463.05,0.0736
AG,30,1525.36,1514.02,1443.61,1741.11,69.86,4.58,1500.36,1550.35,0.6904
